title,year,genres,cast,director,overview,rating,poster_url
Pokiri,2006,"Action, Crime, Thriller","Mahesh Babu, Ileana D'Cruz, Prakash Raj",Puri Jagannadh,"A ruthless hitman working in the criminal underworld becomes involved in gang wars, police investigations, and dangerous conspiracies while operating in Hyderabad’s violent crime network. As rival gangs clash and hidden motives slowly emerge, his true identity and mission remain a mystery to everyone around him. The film blends intense action, suspense, romance, and undercover drama while exploring loyalty, deception, corruption, and survival within organized crime.",8.0,https://image.tmdb.org/t/p/w500/rQ8NH5f3CxRrmqZWMZNYPwLmjDS.jpg
Businessman,2012,"Action, Crime, Drama","Mahesh Babu, Kajal Aggarwal, Prakash Raj",Puri Jagannadh,"An ambitious young man arrives in Mumbai with a bold dream of building a criminal empire powerful enough to control the city itself. Using intelligence, manipulation, and fearless violence, he quickly rises through the underworld while challenging politicians, police officers, and rival gangs. As his influence grows, he becomes trapped between ambition and morality. The film explores power, corruption, greed, political influence, and survival in a ruthless urban environment.",7.1,https://image.tmdb.org/t/p/w500/hLF5o53irg0ZVV4ecLptkLgiTXq.jpg
Athadu,2005,"Action, Family, Drama","Mahesh Babu, Trisha Krishnan, Sonu Sood",Trivikram Srinivas,"A professional assassin becomes the prime suspect in a political murder and escapes into a remote village by assuming the identity of another man. While hiding among a warm and loving family that believes he is their long-lost relative, he slowly experiences emotional connection and belonging for the first time in his life. The film combines action, family drama, suspense, and emotional storytelling while exploring loneliness, identity, redemption, and human relationships.",8.2,https://image.tmdb.org/t/p/w500/AlopJ5sUgsf0pFn8FfXqdhyfL2Z.jpg
Oopiri,2016,"Comedy, Drama, Friendship","Nagarjuna Akkineni, Karthi, Tamannaah Bhatia",Vamsi Paidipally,"A carefree ex-convict becomes the caretaker of a wealthy businessman who is completely paralyzed after a tragic accident. Despite their contrasting personalities and lifestyles, the two men gradually develop a life-changing friendship that transforms their understanding of happiness, relationships, and purpose. Through humor, emotional conflict, and personal growth, the film explores disability, companionship, forgiveness, and the meaning of living fully despite limitations.",8.0,https://image.tmdb.org/t/p/w500/iXsJEdk1P3V2cm2TSRBuG8ZS1pz.jpg
Jathi Ratnalu,2021,"Comedy, Crime","Naveen Polishetty, Rahul Ramakrishna, Priyadarshi",Anudeep K. V.,"Three naive and carefree friends from a small town travel to Hyderabad dreaming of success and excitement, only to become accidentally involved in a high-profile crime case. Their foolish decisions, misunderstandings, and chaotic attempts to escape trouble create a chain of hilarious situations involving politicians, police officers, and criminals. The film blends absurd comedy, friendship, satire, and emotional simplicity while capturing youthful innocence and urban chaos.",7.3,https://image.tmdb.org/t/p/w500/7MzvmgHRmhbJH1UZJhRCkAtxvEy.jpg
Agent Sai Srinivasa Athreya,2019,"Mystery, Thriller, Comedy","Naveen Polishetty, Shruti Sharma",Swaroop RSJ,"A small-time detective running an almost unnoticed agency in Nellore dreams of solving major cases and becoming famous. His life changes after a suspicious unidentified dead body case pulls him into a dangerous conspiracy connected to crime, corruption, and hidden networks. As the investigation grows darker, he must rely on intelligence, humor, and determination to uncover the truth. The film blends mystery, suspense, dark humor, and investigative drama.",8.4,https://image.tmdb.org/t/p/w500/jMVfhhWfHLawVp3kd55KBy3VBsW.jpg
Mathu Vadalara,2019,"Comedy, Crime, Thriller","Sri Simha Koduri, Satya, Naresh Agastya",Ritesh Rana,"A frustrated delivery boy struggling with low income and monotonous work becomes trapped in a bizarre murder situation after making a risky decision driven by desperation. As confusion, panic, and criminal conspiracies spiral out of control, he finds himself navigating increasingly absurd and dangerous events. The film combines dark comedy, suspense, satire, and crime thriller elements while exploring greed, survival, and middle-class frustration.",8.1,https://image.tmdb.org/t/p/w500/lo0ALsfiSv5sxNBhCNh35AD1p0x.jpg
Brochevarevarura,2019,"Comedy, Crime, Drama","Sree Vishnu, Nivetha Thomas, Rahul Ramakrishna",Vivek Athreya,"Three mischievous students known for constantly failing exams become involved in a kidnapping plot after a series of misunderstandings and impulsive decisions. As criminals, family pressure, hidden secrets, and emotional conflicts collide, the story unfolds through humor, suspense, and unexpected twists. The film explores youth, friendship, mistakes, ambition, and societal expectations through an entertaining nonlinear narrative.",8.0,https://image.tmdb.org/t/p/w500/3DecGcOCBoFQ8dPyGbYOPoS4I4r.jpg
C/o Kancharapalem,2018,"Drama, Romance, Anthology","Subba Rao, Radha Bessy, Mohan Bhagat",Venkatesh Maha,"Set in a small town near Visakhapatnam, the film tells four interconnected love stories involving people from different age groups, religions, and social backgrounds. Through realistic characters and emotionally grounded storytelling, the narrative explores loneliness, social prejudice, innocence, heartbreak, and human connection. The film presents ordinary lives with remarkable authenticity while examining caste, religion, aging, and the universal need for love and acceptance.",8.8,https://image.tmdb.org/t/p/w500/8bgyfPih4bORxtnFCwinqVElkYg.jpg
Majili,2019,"Romance, Drama","Naga Chaitanya, Samantha Ruth Prabhu, Divyansha Kaushik",Shiva Nirvana,"A failed cricketer struggling with heartbreak, alcoholism, and emotional bitterness enters an arranged marriage with a woman who silently loves him despite his inability to move on from the past. As family responsibilities and emotional realities slowly reshape his life, he begins confronting his pain and rediscovering purpose. The film explores love, regret, healing, sacrifice, and emotional maturity through grounded family drama.",7.2,https://image.tmdb.org/t/p/w500/7Y9sZji8wsI5r4gOVBnb6CLBzrQ.jpg
Ante Sundaraniki,2022,"Romance, Comedy, Family","Nani, Nazriya Nazim, Naresh",Vivek Athreya,"A young Hindu man and a Christian woman fall in love but struggle to convince their highly traditional families to accept their relationship. To avoid confrontation and emotional conflict, they create elaborate lies that slowly spiral into chaos involving religion, family expectations, and personal identity. The film blends humor, romance, emotional vulnerability, and social commentary while exploring love, faith, family pressure, and honesty.",7.6,https://image.tmdb.org/t/p/w500/yzMsEhiW8ip3hweLCnu48t4RdWD.jpg
Sarrainodu,2016,"Action, Drama","Allu Arjun, Rakul Preet Singh, Aadhi Pinisetty",Boyapati Srinu,"A fearless former army officer who cannot tolerate injustice becomes involved in a violent conflict against a ruthless politician exploiting innocent villagers for power and money. Using aggression and courage, he fights corruption while protecting those unable to defend themselves. The film combines mass action, emotional family drama, romance, and political conflict while exploring justice, anger, and heroism.",6.6,https://image.tmdb.org/t/p/w500/dYOlnzv8LmirzwtbXTU4ROGIebv.jpg
Arjun Reddy,2017,"Romance, Drama","Vijay Deverakonda, Shalini Pandey",Sandeep Reddy Vanga,"A brilliant but emotionally volatile medical student falls into self-destructive behavior after being separated from the woman he deeply loves. Consumed by heartbreak, anger, addiction, and loneliness, he struggles to control his personal and professional life while searching for emotional healing. The film explores intense love, toxic behavior, masculinity, emotional pain, and redemption through raw and emotionally charged storytelling.",8.0,https://image.tmdb.org/t/p/w500/kHubDgL59I5hCn7ccBYvU7bKY1r.jpg
Pelli Choopulu,2016,"Romance, Comedy, Drama","Vijay Deverakonda, Ritu Varma",Tharun Bhascker,"A lazy young man lacking direction in life unexpectedly forms a business partnership with an ambitious woman after a traditional arranged marriage meeting goes wrong. As they work together to build a food-truck startup, their relationship gradually evolves through emotional understanding, mutual respect, and personal growth. The film explores ambition, modern relationships, entrepreneurship, and self-discovery through realistic humor and grounded storytelling.",8.2,https://image.tmdb.org/t/p/w500/um5GCXgYAVwP46yzt9vD83MAXKd.jpg
Kick,2009,"Action, Comedy, Romance","Ravi Teja, Ileana D'Cruz, Shaam",Surender Reddy,"A thrill-seeking man addicted to excitement becomes dissatisfied with ordinary life and constantly changes jobs in search of something that gives him a sense of 'kick.' His reckless behavior affects relationships and society until his unusual actions attract police attention for unexpected reasons. The film blends comedy, romance, action, and emotional transformation while exploring purpose, thrill, individuality, and redemption.",7.8,https://image.tmdb.org/t/p/w500/lei28oUtPXyzGjkf6YKaIlAscAV.jpg
Happy Days,2007,"Coming-of-age, Drama, Friendship","Varun Sandesh, Tamannaah Bhatia, Nikhil Siddharth",Sekhar Kammula,"A group of engineering students from different backgrounds navigate friendship, love, insecurity, academic pressure, and personal growth during their college years. Through joyful memories, heartbreak, misunderstandings, and emotional transitions, they slowly mature while discovering their own identities and dreams. The film captures campus life with realism and nostalgia while exploring youth, ambition, relationships, and emotional change.",7.9,https://image.tmdb.org/t/p/w500/9PTzngN3VOmxQg6vFOkAGFMSxWi.jpg
Bommarillu,2006,"Romance, Family, Drama","Siddharth, Genelia D'Souza, Prakash Raj",Bhaskar,"A young man raised under the constant control of his overprotective father struggles to make independent choices about his own life and relationships. His world changes after meeting a free-spirited woman whose honesty and individuality force him to confront years of emotional suppression. The film explores family expectations, individuality, emotional dependency, love, and personal freedom through heartfelt storytelling and memorable relationships.",8.2,https://image.tmdb.org/t/p/w500/oYN5XJzV9dYGwzq4fmp41xcIaDS.jpg
Taare Zameen Par,2007,"Drama, Family, Education","Darsheel Safary, Aamir Khan, Tisca Chopra",Aamir Khan,"An imaginative young boy struggling academically faces constant criticism from parents and teachers who fail to understand his learning difficulties. After being sent to a boarding school, he meets an art teacher who recognizes his dyslexia and helps him rediscover confidence, creativity, and joy in learning. The film explores childhood psychology, education systems, parenting, emotional neglect, and the importance of empathy and understanding.",8.4,https://image.tmdb.org/t/p/w500/puHRt6Raovm5ujGCdwLWvRv4NHU.jpg
Vedam,2010,"Drama, Anthology, Social","Allu Arjun, Manchu Manoj, Anushka Shetty",Krish Jagarlamudi,"Multiple individuals from completely different social backgrounds unknowingly move toward a life-changing incident that connects their destinies. A struggling rock musician chasing fame, a poor villager trying to earn money, a prostitute dreaming of dignity, and several others confront harsh realities shaped by poverty, greed, discrimination, and survival. Through emotionally layered storytelling, the film explores humanity, morality, social inequality, sacrifice, and the fragile value of human life.",8.1,https://image.tmdb.org/t/p/w500/fwozjObCQSZsGdUw0dJXJSdEocj.jpg
Ala Vaikunthapurramuloo,2020,"Family, Drama, Comedy","Allu Arjun, Pooja Hegde, Tabu",Trivikram Srinivas,"A middle-class young man constantly mistreated by his father discovers that he was switched at birth with the son of a wealthy family. As hidden truths about identity and family emerge, he enters the luxurious household connected to his real origins and gradually transforms the lives of those around him. The film blends family emotion, humor, romance, and corporate conflict while exploring belonging, self-worth, relationships, and parental love.",7.3,https://image.tmdb.org/t/p/w500/2rzORJaegE2bbKNVkQXbZCeV0BP.jpg
Rangasthalam,2018,"Action, Drama, Village","Ram Charan, Samantha Ruth Prabhu, Aadhi Pinisetty",Sukumar,"Set in a rural village during the 1980s, the story follows a partially deaf man whose simple life changes after his educated brother challenges the corrupt village president controlling the entire community through fear and exploitation. As political tension, violence, and emotional conflict escalate, the family becomes trapped in a dangerous battle against oppression. The film explores rural politics, brotherhood, revenge, social injustice, and resistance through emotionally intense storytelling.",8.2,https://image.tmdb.org/t/p/w500/yiEzDgBBFC25Zd6z0r7sMngn5vr.jpg
Dear Comrade,2019,"Romance, Drama, Sports","Vijay Deverakonda, Rashmika Mandanna",Bharat Kamma,"An impulsive and politically outspoken student leader falls deeply in love with an ambitious state-level cricketer pursuing her dreams despite emotional and professional challenges. As anger issues, career struggles, emotional trauma, and misunderstandings begin affecting their relationship, both individuals are forced to confront their own vulnerabilities and personal growth. The film explores mental health, love, ambition, feminism, emotional healing, and youthful idealism.",7.2,https://image.tmdb.org/t/p/w500/wEDh02aLl2fkCXi25V4MOOuEuWF.jpg
Khaleja,2010,"Fantasy, Action, Comedy","Mahesh Babu, Anushka Shetty, Prakash Raj",Trivikram Srinivas,"A carefree taxi driver unknowingly becomes connected to a remote village suffering from a deadly mysterious illness caused by corporate exploitation and environmental destruction. Mistaken by villagers as a divine savior destined to protect them, he slowly transforms from a selfish individual into someone willing to fight for innocent lives. The film combines fantasy, social commentary, humor, and action while exploring faith, destiny, greed, and human responsibility.",7.5,https://image.tmdb.org/t/p/w500/rsQbJT4vjyQe6Mpry1i8Tnf86wp.jpg
Manam,2014,"Fantasy, Family, Drama","Akkineni Nageswara Rao, Nagarjuna Akkineni, Naga Chaitanya",Vikram Kumar,"A young man haunted by the tragic deaths of his parents unexpectedly encounters people who resemble them in another lifetime, leading him into a mysterious journey connected to reincarnation and destiny. As relationships from the past slowly reconnect across generations, hidden emotional truths and unresolved bonds begin resurfacing. The film explores family, love, fate, rebirth, forgiveness, and emotional continuity through imaginative storytelling and heartfelt emotion.",8.0,https://image.tmdb.org/t/p/w500/pas4iupGgxk0UuhiILiWHDSkMBC.jpg
1: Nenokkadine,2014,"Psychological, Thriller, Action","Mahesh Babu, Kriti Sanon, Nassar",Sukumar,"A famous rock musician suffering from hallucinations and psychological instability becomes obsessed with uncovering the truth behind his parents’ mysterious deaths. As fragmented memories, paranoia, and hidden conspiracies blur the line between reality and imagination, he struggles to trust both himself and the people around him. The film combines psychological suspense, emotional trauma, action, and mystery while exploring memory, revenge, identity, and mental instability.",8.0,https://image.tmdb.org/t/p/w500/dYpqpA7BsDHeyAGs9AAEPhZmbck.jpg
Gamyam,2008,"Road, Drama, Adventure","Sharwanand, Allari Naresh, Kamalinee Mukherjee",Krish Jagarlamudi,"A wealthy and arrogant city man sets out on a long journey to reconnect with the woman he loves, accompanied by a poor but compassionate thief who gradually changes his understanding of life. As the two travel through rural India and encounter suffering, kindness, and injustice, the journey becomes emotionally transformative for both men. The film explores humanity, class differences, friendship, compassion, and self-discovery through a deeply emotional road narrative.",8.4,https://image.tmdb.org/t/p/w500/xOnX16iyA6bI8YL9ryeKjYl4YVK.jpg
Dookudu,2011,"Action, Comedy, Family","Mahesh Babu, Samantha Ruth Prabhu, Sonu Sood",Srinu Vaitla,"An energetic undercover police officer takes on a dangerous mission to destroy a powerful criminal network while also trying to protect his recovering father from emotional shock. To maintain peace within the family, he creates elaborate lies and staged situations that lead to humorous chaos and emotional complications. The film combines action, family sentiment, comedy, and crime drama while exploring duty, deception, and emotional responsibility.",7.4,https://image.tmdb.org/t/p/w500/e9uffrN9z22uuiBF9B0bTDDvbjz.jpg
Temper,2015,"Action, Crime, Drama","N. T. Rama Rao Jr., Kajal Aggarwal, Prakash Raj",Puri Jagannadh,"A corrupt and arrogant police officer who abuses power for personal gain experiences a moral awakening after witnessing the brutal injustice faced by an innocent young girl. Forced to confront his own actions and cowardice, he begins fighting against a powerful criminal system despite enormous personal risk. The film explores corruption, justice, redemption, courage, and social responsibility through emotionally intense action drama.",7.4,https://image.tmdb.org/t/p/w500/hA793thpccdoAHSOZ5GNbtdSQlC.jpg
Sye,2004,"Sports, Action, Drama","Nithiin, Genelia D'Souza, Shashank",S. S. Rajamouli,"Two rival student groups constantly involved in campus fights are forced to unite when a corrupt businessman attempts to seize their college grounds for personal profit. Using rugby as the deciding challenge, the students prepare for a high-stakes match that becomes a battle for identity, pride, and survival. The film combines sports action, youth drama, friendship, and emotional intensity while exploring teamwork, rivalry, and resistance against exploitation.",7.9,https://image.tmdb.org/t/p/w500/yetEKct1tQ1RDLQJKReaYirh5BI.jpg
A Wednesday!,2008,"Thriller, Crime, Drama","Naseeruddin Shah, Anupam Kher, Jimmy Shergill",Neeraj Pandey,"A retired police commissioner recalls an extraordinary day when an unknown man placed bombs across Mumbai and demanded the release of dangerous terrorists while remaining completely anonymous. As the city falls into panic and authorities race against time, deeper questions emerge about justice, terrorism, and public frustration with the system. The film explores fear, vigilantism, morality, and social anger through tightly written suspense and emotional intensity.",8.1,https://image.tmdb.org/t/p/w500/gVUSxtJM3arL5VIUIRNYde20EF0.jpg
Udaan,2010,"Drama, Coming-of-age","Rajat Barmecha, Ronit Roy, Ram Kapoor",Vikramaditya Motwane,"After being expelled from boarding school, a sensitive teenager is forced to return home and live under the harsh control of his abusive and emotionally distant father. While balancing school, factory work, and his secret dream of becoming a writer, he struggles to find identity, freedom, and emotional support. The film explores toxic parenting, adolescence, creativity, emotional suppression, and the desire for independence.",8.1,https://image.tmdb.org/t/p/w500/8dQmrGk0WRPiCwiiGdIxnY5s8Pc.jpg
Barfi!,2012,"Romance, Comedy, Drama","Ranbir Kapoor, Priyanka Chopra, Ileana D'Cruz",Anurag Basu,"A cheerful deaf-mute man forms unique emotional connections with two women while navigating love, disability, misunderstanding, and social expectations. Despite communication barriers and emotional complications, his innocence and optimism deeply affect the lives of those around him. The film combines humor, romance, emotional vulnerability, and visual storytelling while exploring unconditional love, loneliness, acceptance, and human connection.",8.1,https://image.tmdb.org/t/p/w500/5cJIx2zKjDoUtPSliou23xsReb1.jpg
Rockstar,2011,"Music, Romance, Drama","Ranbir Kapoor, Nargis Fakhri, Aditi Rao Hydari",Imtiaz Ali,"A simple college student dreaming of becoming a legendary musician believes that true artistic greatness can only emerge through emotional pain and heartbreak. After falling deeply in love, he experiences loss, fame, emotional isolation, and inner conflict that gradually transform him into a celebrated yet deeply troubled rockstar. The film explores art, identity, obsession, heartbreak, fame, and emotional suffering through powerful music and intense character drama.",7.7,https://image.tmdb.org/t/p/w500/km0cGsCwx8K9wxEPntQfM341oOs.jpg
Swades,2004,"Drama, Social","Shah Rukh Khan, Gayatri Joshi, Kishori Ballal",Ashutosh Gowariker,"An Indian scientist working at NASA returns to his native village to reconnect with his childhood caretaker but gradually becomes emotionally involved in the struggles faced by rural communities lacking basic resources and opportunities. As he witnesses poverty, caste discrimination, and social stagnation, he begins questioning his own identity and responsibilities toward society. The film explores patriotism, development, education, humanity, and the emotional meaning of home.",8.2,https://image.tmdb.org/t/p/w500/yUSL24kpHc9Nls4Pohia4shgcIM.jpg
Mahanati,2018,"Biography, Drama","Keerthy Suresh, Dulquer Salmaan, Samantha Ruth Prabhu",Nag Ashwin,"The film chronicles the extraordinary rise and tragic decline of legendary South Indian actress Savitri, whose talent, charisma, and emotional depth made her one of the most celebrated performers in Indian cinema. Through the eyes of journalists investigating her life, the story explores her journey from poverty to stardom, her complex marriage, emotional loneliness, financial downfall, and personal struggles behind fame. The narrative combines nostalgia, cinema history, romance, and emotional tragedy while examining ambition, sacrifice, addiction, and the emotional cost of celebrity life.",8.4,https://image.tmdb.org/t/p/w500/5hwtlwoLdSpkoeusT0sf8qW5VFB.jpg
Jigarthanda,2014,"Crime, Dark Comedy, Thriller","Siddharth, Bobby Simha, Lakshmi Menon",Karthik Subbaraj,"An aspiring filmmaker searching for realistic inspiration decides to secretly study a feared gangster known for unpredictable violence and ruthless behavior. As he becomes deeply entangled in the criminal underworld, fear and manipulation begin shaping his work and personal life. However, unexpected emotional shifts and darkly humorous situations gradually transform both men in surprising ways. The film blends crime, satire, filmmaking culture, violence, and psychological tension while exploring fear, ego, ambition, and artistic obsession.",8.2,https://image.tmdb.org/t/p/w500/oDcQE70RYc78iBYgHRknl64QKTu.jpg
Super Deluxe,2019,"Drama, Dark Comedy, Anthology","Vijay Sethupathi, Fahadh Faasil, Samantha Ruth Prabhu",Thiagarajan Kumararaja,"Several seemingly unrelated lives collide over the course of one chaotic day involving infidelity, crime, sexuality, religion, guilt, and personal identity. A transgender parent reconnects with family, a couple hides a shocking accident, teenage boys pursue forbidden fantasies, and a man questions faith after personal tragedy. Through interconnected narratives filled with absurdity and emotional vulnerability, the film explores morality, hypocrisy, acceptance, fear, and human complexity in unconventional ways.",8.3,https://image.tmdb.org/t/p/w500/rTsYDdFWyw87CTk4YgJO6nYmVcJ.jpg
Lucia,2013,"Psychological, Thriller, Sci-Fi","Sathish Ninasam, Sruthi Hariharan",Pawan Kumar,"A lonely movie theater usher suffering from insomnia begins taking an experimental pill that allows him to experience vivid dreams where he lives an entirely different life as a famous actor. As the boundaries between dream and reality slowly dissolve, he becomes trapped in a psychological maze filled with confusion, fear, and emotional longing. The film explores identity, fame, escapism, loneliness, and subconscious desire through nonlinear storytelling and psychological suspense.",8.2,https://image.tmdb.org/t/p/w500/aL0R8E6pIehFCuVpo3Wj8ewAWi9.jpg
Awe!,2018,"Psychological, Fantasy, Thriller","Kajal Aggarwal, Nithya Menen, Regina Cassandra",Prasanth Varma,"Several mysterious individuals from completely different backgrounds arrive at a restaurant while each secretly carrying emotional trauma, hidden fears, or dangerous intentions. As strange events unfold, their stories begin intersecting in surreal and unexpected ways that challenge the audience’s understanding of reality. Combining fantasy, psychological drama, thriller elements, and emotional storytelling, the film explores mental health, loneliness, identity, abuse, and the hidden darkness within human minds.",7.7,https://image.tmdb.org/t/p/w500/98Dn1D22PWmgwkEx7UEVLtpAPmk.jpg
Karthikeya,2014,"Mystery, Thriller, Adventure","Nikhil Siddharth, Swathi Reddy, Tanikella Bharani",Chandoo Mondeti,"A curious medical student fascinated by logic and science travels to a mysterious temple village where unexplained deaths and terrifying legends have frightened the local population for years. Refusing to believe in superstition, he begins investigating hidden secrets buried beneath mythology, rituals, and fear. As danger intensifies, the journey transforms into a thrilling search for truth involving history, deception, and ancient mystery. The film explores rationality, faith, fear, and curiosity through suspenseful adventure storytelling.",7.9,https://image.tmdb.org/t/p/w500/tWs1JQlZX4AfBGSVYYTIXe05VBq.jpg
Karthikeya 2,2022,"Mystery, Adventure, Fantasy","Nikhil Siddharth, Anupama Parameswaran, Anupam Kher",Chandoo Mondeti,"While visiting Dwarka with his family, a skeptical doctor becomes involved in a dangerous quest connected to the hidden legacy of Lord Krishna and a sacred artifact capable of changing history. Pursued by powerful enemies and guided by ancient clues, he travels through temples, myths, and hidden locations uncovering spiritual mysteries beyond scientific explanation. The film blends mythology, adventure, suspense, and fantasy while exploring faith, destiny, greed, and divine history.",8.0,https://image.tmdb.org/t/p/w500/fKKoQndNfbDOLfYM1Zogt7miGF1.jpg
Anukokunda Oka Roju,2005,"Mystery, Thriller","Charmy Kaur, Jagapathi Babu, Shashank",Chandra Sekhar Yeleti,"A young woman wakes up one morning with no memory of an entire missing day from her life and slowly realizes that unknown people are trying to kill her. As she attempts to uncover what happened during those lost hours, she becomes trapped in a dangerous conspiracy involving occult practices, murder, and hidden secrets. The film combines suspense, psychological tension, mystery, and investigative drama while exploring memory, paranoia, and survival.",8.1,https://image.tmdb.org/t/p/w500/zxW8NofcgofAxDZAmyQiyDXeVYI.jpg
Goodachari,2018,"Spy, Thriller, Action","Adivi Sesh, Sobhita Dhulipala, Jagapathi Babu",Sashi Kiran Tikka,"A young intelligence officer accused of betraying the nation goes on the run while trying to uncover the conspiracy responsible for framing him. As he investigates hidden enemies operating within the system, he discovers dangerous secrets connected to espionage, national security, and his own family history. The film combines spy action, emotional conflict, suspense, and political intrigue while exploring patriotism, trust, sacrifice, and deception.",7.8,https://image.tmdb.org/t/p/w500/gBhekVgADDk1ZgsQhrJ8CesdW3k.jpg
Evaru,2019,"Crime, Thriller, Mystery","Adivi Sesh, Regina Cassandra, Naveen Chandra",Venkat Ramji,"A corrupt police officer investigating the apparent murder of a powerful man by a young woman initially believes the case to be straightforward self-defense. However, as hidden truths, lies, and emotional manipulation slowly emerge through layered conversations and shifting perspectives, the investigation turns into a dangerous psychological game. The film explores guilt, trauma, deception, power, and moral ambiguity through suspenseful nonlinear storytelling.",8.1,https://image.tmdb.org/t/p/w500/k0E0jJ4yhouFPf9XCBR50C3TOuc.jpg
Mumbai Police,2013,"Crime, Psychological, Thriller","Prithviraj Sukumaran, Jayasurya, Rahman",Rosshan Andrrews,"A police officer investigating the murder of a close friend suffers memory loss after a tragic accident just as he is about to reveal the identity of the killer. Forced to restart the investigation from the beginning, he slowly uncovers hidden secrets about the case, his relationships, and even his own identity. The film combines psychological tension, crime investigation, emotional conflict, and social commentary while exploring memory, repression, loneliness, and truth.",8.0,https://image.tmdb.org/t/p/w500/19hI3Qw95irArEoHh5gKTzuhtFV.jpg
Vada Chennai,2018,"Gangster, Crime, Drama","Dhanush, Ameer, Andrea Jeremiah",Vetrimaaran,"A talented carrom player from North Chennai becomes unwillingly drawn into gang wars, political manipulation, and cycles of violence that dominate the local criminal ecosystem. As prison life, betrayal, revenge, and shifting alliances reshape his destiny over several decades, he struggles to survive within a ruthless environment controlled by power and fear. The film explores ambition, survival, friendship, politics, and systemic violence through raw and realistic gangster storytelling.",8.4,https://image.tmdb.org/t/p/w500/4Pa7SriYtq4BdoS2BAPm6w66vLi.jpg
Asuran,2019,"Action, Drama, Rural","Dhanush, Manju Warrier, Ken Karunas",Vetrimaaran,"A poor farmer living peacefully with his family is forced into violent conflict after caste oppression and land disputes lead to tragedy and bloodshed. While trying to protect his children from revenge and systemic brutality, he is forced to reveal a violent past he had long buried. The film explores caste discrimination, survival, fatherhood, anger, and resistance through emotionally intense rural drama and powerful action.",8.4,https://image.tmdb.org/t/p/w500/Elnp3XrAlMM30dil8rbL7D9XeP.jpg
Visaranai,2015,"Crime, Drama, Social","Dinesh Ravi, Samuthirakani, Aadukalam Murugadoss",Vetrimaaran,"Several poor migrant workers are brutally tortured by police officers after being falsely accused of theft, forcing them into a terrifying cycle of violence, corruption, and political manipulation. As they are transferred between different authorities, the truth becomes increasingly irrelevant compared to institutional power and survival. Inspired by real events, the film explores police brutality, systemic corruption, fear, injustice, and the dehumanizing nature of power.",8.5,https://image.tmdb.org/t/p/w500/3Mkx7h2NqMHFKezc0uuZUxqeiwD.jpg
Thani Oruvan,2015,"Action, Thriller, Crime","Jayam Ravi, Arvind Swamy, Nayanthara",Mohan Raja,"An idealistic IPS officer dedicated to eliminating corruption discovers that a highly intelligent scientist and businessman is secretly controlling criminal networks, politics, and public systems for personal gain. Fascinated by each other’s intelligence, the officer and villain become trapped in a psychological and strategic battle involving manipulation, surveillance, and moral conflict. The film explores corruption, intelligence, ego, ethics, and power through stylish action-thriller storytelling.",8.4,https://image.tmdb.org/t/p/w500/90ZpZw1qZlt0RUVByJATFVUEeEm.jpg
Ratsasan,2018,"Psychological, Crime, Thriller","Vishnu Vishal, Amala Paul, Saravanan",Ram Kumar,"An aspiring filmmaker obsessed with psychological crime stories reluctantly joins the police force and soon becomes involved in a terrifying investigation surrounding a serial killer targeting schoolgirls. As fear spreads and pressure intensifies, he races against time to understand the disturbed mind behind the murders before more victims are lost. The film combines investigative suspense, psychological horror, emotional trauma, and crime thriller elements while exploring fear, obsession, and justice.",8.3,https://image.tmdb.org/t/p/w500/mruUFlrVKiL994y3vvQBT8R2Vnf.jpg
Ulidavaru Kandanthe,2014,"Crime, Anthology, Mystery","Rakshit Shetty, Kishore, Achyuth Kumar",Rakshit Shetty,"A murder connected to a local festival is retold through multiple perspectives, with each character presenting a completely different version of events shaped by personal emotions, bias, and hidden motives. As the fragmented narratives slowly overlap, the truth becomes increasingly complicated and morally ambiguous. The film blends crime, nonlinear storytelling, emotional drama, and dark humor while exploring perception, memory, loyalty, and the subjectivity of truth.",8.4,https://image.tmdb.org/t/p/w500/b7Ee4DKKhNVYNV84rovdqcWXjgt.jpg
Charlie,2015,"Adventure, Romance, Drama","Dulquer Salmaan, Parvathy Thiruvothu, Aparna Gopinath",Martin Prakkat,"A free-spirited wanderer leaves behind mysterious sketches and stories that inspire a lonely young woman to search for him across different places and encounters. As she follows the trail of people whose lives he touched, she slowly discovers his compassion, emotional scars, and unconventional way of living. The film explores freedom, loneliness, human connection, kindness, and emotional healing through whimsical storytelling and heartfelt adventure.",8.0,https://image.tmdb.org/t/p/w500/kQo30LL8punEsJu5kMZzJydQYJo.jpg
Jana Gana Mana,2022,"Courtroom, Political, Thriller","Prithviraj Sukumaran, Suraj Venjaramoodu",Dijo Jose Antony,"The death of a college professor under controversial circumstances sparks public outrage, political unrest, and a legal battle that exposes disturbing truths about media manipulation, institutional corruption, and social injustice. As the courtroom proceedings unfold, hidden agendas and moral ambiguity challenge public perception of truth and justice. The film combines political drama, legal suspense, emotional conflict, and social commentary while exploring power, nationalism, and systemic failure.",8.3,https://image.tmdb.org/t/p/w500/1bSPVn6HlkGYTQ4tJYJ0UGWnQM9.jpg
